Andaman & Nicobar,0,0,0,10.95,0,0,0,5,8,0,2.6
Andhra Pradesh,15.09,14.42,0.67,6.63,95.5599734923791,2206,2301.55997349238,4507.55997349238,160,472,1623.77998674619
Arunachal Pradesh,0,0,0,0,0,13,11,37,0,3,12.8
Assam,0.51,0.51,0,1.83,100,312,344,305,21,38,186.666666666667
Bihar,13.98,13.75,0.23,23.95,98.3547925608011,83,68,127,0,10,57.6
Chhattisgarh,13.26,11.69,1.57,28.52,88.1598793363499,0,4,0,443,312,151.8
Goa,0.007,0.007,0,0.21,100,1,1,1,1,1,1
Gujarat,11.91,11.89,0.02,13.53,99.8320738874895,578,564,582,45,555,464.8
Haryana,6.96,6.9,0.06,0,99.1379310344828,384,384,384,384,384,384
Himachal Pradesh,0.97,0.95,0.02,13.72,97.9381443298969,46,29,33,32,31,34.2
Jammu & Kashmir,0,0,0,0.09,0,14,10,18,12,25,15.8
Jharkhand,8.49,1.61,6.88,9.54,18.9634864546525,94,119,142,0,4,71.8
Karnataka,10.59,8.33,2.26,14.21,78.6591123701605,2100,1875,1403,321,447,1229.2
Kerala,0.22,0.22,0,0.72,100,830,1081,972,107,700,738
Madhya Pradesh,36.54,32.6,3.94,58.15,89.2172961138478,1326,1172,1090,826,372,957.2
Maharashtra,66.79,20.95,45.84,51.24,31.3669711034586,3337,3786,3146,2568,1436,2854.6
Manipur,0,0,0,2.31,0,0,0,1,0,0,0.2
Meghalaya,0.0006,0.0006,0,0.96,100,22,10,5,0,2,7.8
Mizoram,0,0,0,0,0,14,10,6,0,5,7
Nagaland,0,0,0,0,0,2,9,2,0,0,2.6
Odisha,17.46,17.17,0.29,41.1,98.3390607101947,144,146,150,5,97,108.4
Puducherry,0,0,0,4.64,0,0,0,0,0,16,3.2
Punjab,0,0,0,0,0,98,75,83,24,40,64
Rajasthan,53.05,53.05,0.005,0,100,268,270,292,0,373,240.6
Sikkim,0,0,0,0.03,0,12,19,35,35,0,20.2
Tamil Nadu,0.13,0.13,0,7.24,100,623,499,105,68,827,424.4
Telangana,6.55,6,0.555,0,91.6030534351145,0,0,0,898,449,673.5
Tripura,0.02,0.01,0.01,0.06,50,20,18,56,0,32,25.2
Uttar Pradesh,30.04,30.03,0.01,8.68,99.9667110519308,645,745,750,63,129,466.4
Uttarakhand,1.28,1.17,0.11,7.6,91.40625,25,14,15,0,0,10.8
West Bengal,32.4,17.31,15.09,25.75,53.4259259259259,807,0,0,0,230,259.25
